headline,topic,political_bias,sentiment,source
"Government passes new healthcare reform bill","healthcare","left","positive","Daily Nation"
"Tax cuts announced for corporations","economy","right","positive","Free Market News"
"Environmental activists demand stronger climate policies","environment","left","neutral","Green Times"
"Defense spending increased for national security","defense","right","positive","Patriot Daily"
"Education funding to be reduced next year","education","right","negative","Budget Watch"
"New public housing initiative launched","housing","left","positive","City Herald"
"Tech companies face new data privacy rules","technology","left","neutral","Digital Ethics"
"Stock market reaches record highs","economy","right","positive","Market Insight"
"Minimum wage increase proposal gains support","economy","left","positive","Labor Voice"
"Immigration laws tightened by parliament","immigration","right","neutral","National News"
"Government to invest in renewable energy","environment","left","positive","Eco World"
"Oil drilling permits expanded in coastal areas","environment","right","negative","Energy Today"
"Healthcare premiums rise for middle class","healthcare","right","negative","Economic Times"
"Students protest against tuition fee hikes","education","left","positive","Campus Watch"
"Police reforms gain traction after protests","justice","left","neutral","Civil Rights Weekly"
"Military budget boost sparks debate","defense","right","neutral","Security News"
"New tax relief for small businesses","economy","right","positive","Business Hub"
"Affordable childcare act proposed","social","left","positive","Family Matters"
"Gun control bill reintroduced","justice","left","neutral","Safety Press"
"Trade agreement signed with foreign ally","foreign policy","right","positive","World Focus"
"Subsidies for clean energy expanded","environment","left","positive","Eco Update"
"Government limits social media content moderation","technology","right","neutral","Open Web Journal"
"Corporate donations to parties under scrutiny","politics","left","neutral","Transparency Daily"
"Border wall construction resumes","immigration","right","positive","Frontline News"
"Healthcare subsidies extended for low-income families","healthcare","left","positive","Healthline Today"
"Private prisons face closure under new regulation","justice","left","positive","Justice News"
"Defense alliance strengthens regional security","foreign policy","right","positive","Defense Weekly"
"Environmental protests disrupt oil summit","environment","left","neutral","Planet Report"
"Tax incentives offered for fossil fuel producers","economy","right","positive","Energy Insider"
"Universal basic income trial expands","economy","left","positive","Society Weekly"
New trends observed in social.,social,neutral,negative,World Focus
Public sector investment in foreign policy.,foreign policy,left,positive,Eco News
Policy talks resume on education.,education,neutral,neutral,Global Watch
Survey shows shifts in technology.,technology,neutral,neutral,Tech Today
Public sector investment in justice.,justice,left,negative,Insight Weekly
Experts discuss changes in foreign policy.,foreign policy,neutral,positive,The Chronicle
Government launches new program to support environment.,environment,left,neutral,The Chronicle
Corporations invest in economy.,economy,right,neutral,World Focus
Law enforcement expansion for justice.,justice,right,positive,Tech Today
Universal access to social.,social,left,positive,Insight Weekly
Renewable energy expansion boosts social.,social,left,negative,Daily Times
Activists demand better healthcare.,healthcare,left,neutral,National Herald
Report released on defense.,defense,neutral,negative,Freedom Post
Renewable energy expansion boosts technology.,technology,left,positive,Global Watch
Policy talks resume on immigration.,immigration,neutral,positive,Global Watch
Deregulation benefits immigration.,immigration,right,neutral,World Focus
Tightened border policies on healthcare.,healthcare,right,neutral,Global Watch
Experts discuss changes in justice.,justice,neutral,negative,Daily Times
Universal access to foreign policy.,foreign policy,left,positive,The Chronicle
Corporations invest in foreign policy.,foreign policy,right,negative,Daily Times
Private sector to lead in justice.,justice,right,neutral,World Focus
Public debate continues over justice.,justice,neutral,positive,Insight Weekly
Public sector investment in healthcare.,healthcare,left,negative,Freedom Post
Renewable energy expansion boosts immigration.,immigration,left,positive,Insight Weekly
Public sector investment in healthcare.,healthcare,left,positive,Daily Times
Deregulation benefits economy.,economy,right,positive,Freedom Post
Activists demand better justice.,justice,left,positive,World Focus
Research highlights issues in healthcare.,healthcare,neutral,negative,World Focus
Subsidies announced for environment.,environment,left,negative,Eco News
International summit focuses on social.,social,neutral,negative,The Chronicle
Analysis of defense.,defense,neutral,negative,Global Watch
Policy talks resume on education.,education,neutral,positive,World Focus
Private sector to lead in social.,social,right,neutral,Eco News
Healthcare coverage extended for immigration.,immigration,left,negative,Freedom Post
Universal access to immigration.,immigration,left,positive,Eco News
Economic growth boosted by social.,social,right,negative,Daily Times
Report released on healthcare.,healthcare,neutral,positive,Insight Weekly
Experts discuss changes in education.,education,neutral,positive,National Herald
Education funding increased for economy.,economy,left,neutral,Insight Weekly
Experts discuss changes in economy.,economy,neutral,negative,Civic Journal
Education funding increased for technology.,technology,left,positive,Global Watch
Universal access to defense.,defense,left,neutral,Global Watch
Research highlights issues in healthcare.,healthcare,neutral,negative,National Herald
Renewable energy expansion boosts social.,social,left,positive,Civic Journal
Private sector to lead in technology.,technology,right,positive,Global Watch
Private sector to lead in education.,education,right,neutral,Eco News
Deregulation benefits justice.,justice,right,neutral,Global Watch
Defense spending rise to protect immigration.,immigration,right,positive,Freedom Post
Defense spending rise to protect immigration.,immigration,right,positive,Insight Weekly
Government reduces funding for technology.,technology,right,negative,Eco News
Public sector investment in social.,social,left,neutral,Tech Today
Policy talks resume on economy.,economy,neutral,neutral,World Focus
Regulations proposed for healthcare.,healthcare,left,neutral,Daily Times
Deregulation benefits defense.,defense,right,positive,Civic Journal
Analysis of economy.,economy,neutral,negative,Global Watch
Research highlights issues in immigration.,immigration,neutral,positive,Tech Today
Research highlights issues in healthcare.,healthcare,neutral,positive,Insight Weekly
Healthcare coverage extended for technology.,technology,left,positive,Daily Times
Corporations invest in immigration.,immigration,right,neutral,Tech Today
Tax cuts for foreign policy.,foreign policy,right,neutral,Daily Times
Study finds mixed results in foreign policy.,foreign policy,neutral,positive,Daily Times
Law enforcement expansion for social.,social,right,positive,Tech Today
Regulations proposed for healthcare.,healthcare,left,negative,Freedom Post
Deregulation benefits defense.,defense,right,negative,Freedom Post
